Error en registro 1: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 1001: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 3002: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 4003: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 5004: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 8005: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 10006: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 13007: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 13978: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 29979: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 31980: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 34981: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 37982: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 39983: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 45984: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
